komoditas,harga,satuan,lokasi,tanggal,sumber
Bawang Merah Ukuran Sedang,46800,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Bawang Putih Ukuran Sedang,39650,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Beras Kualitas Bawah I,14300,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Beras Kualitas Bawah II,14600,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Beras Kualitas Medium I,15800,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Beras Kualitas Medium II,15500,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Beras Kualitas Super I,16950,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Beras Kualitas Super II,16450,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Cabai Merah Besar,54050,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Cabai Merah Keriting,50100,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Cabai Rawit Hijau,45850,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Cabai Rawit Merah,70800,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Daging Ayam Ras Segar,41150,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Daging Sapi Kualitas 1,144600,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Daging Sapi Kualitas 2,136950,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Gula Pasir Kualitas Premium,20050,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Gula Pasir Lokal,19100,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Minyak Goreng Curah,20800,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Minyak Goreng Kemasan Bermerk 1,24200,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Minyak Goreng Kemasan Bermerk 2,23000,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
Telur Ayam Ras Segar,30750,per kg,Nasional (referensi Malang),2026-05-14,BI.go.id
